iter	RMSE
0	0.6039870163
1	0.5875898327
2	0.5734381817
3	0.5610140769
4	0.5498117127
5	0.540237592
6	0.5309364615
7	0.5233055429
8	0.5165837153
9	0.5101624715
10	0.5047788887
11	0.5001169159
12	0.4952251704
13	0.4918011728
14	0.4873392826
15	0.4837924655
16	0.4807572919
17	0.4767498217
18	0.4731420392
19	0.4698161559
20	0.4669954515
21	0.4623373936
22	0.4591294488
23	0.4568021615
24	0.4543601034
25	0.4511038793
26	0.4487240568
27	0.4465016919
28	0.444314683
29	0.441636945
30	0.4396822721
31	0.4372016355
32	0.4354690649
33	0.4340166949
34	0.4319676461
35	0.4303143453
36	0.4293496099
37	0.4269812749
38	0.4255708329
39	0.4238195107
40	0.4221765243
41	0.4207143973
42	0.4190953401
43	0.4175463365
44	0.4164213086
45	0.4154532534
46	0.4141934799
47	0.4132362842
48	0.4123922922
49	0.4113818813
50	0.4096401674
51	0.4080968721
52	0.4071525044
53	0.4055095756
54	0.4041610686
55	0.4032001047
56	0.4017197459
57	0.4008813071
58	0.399895877
59	0.3988440563
60	0.3977206684
61	0.3969089548
62	0.3964567496
63	0.3952614838
64	0.3941232633
65	0.3935157304
66	0.392435725
67	0.3917858818
68	0.3913662452
69	0.3905025218
70	0.3894884695
71	0.3887998387
72	0.3881725226
73	0.3873167014
74	0.3865893692
75	0.3858839873
76	0.3852856482
77	0.3841746388
78	0.3832967091
79	0.3826392683
80	0.3818754635
81	0.3813281192
82	0.3809229079
83	0.3802198516
84	0.3789742168
85	0.3782204052
86	0.3774065298
87	0.3766139632
88	0.3761122715
89	0.3756706374
90	0.3752454118
91	0.3747815934
92	0.3742712796
93	0.3736109384
94	0.3728619464
95	0.3724435611
96	0.3718100433
97	0.3711378564
98	0.3706239729
99	0.3699157961
100	0.3691230404
101	0.368535605
102	0.3676848088
103	0.3670533901
104	0.3662427327
105	0.3658633438
106	0.3653732336
107	0.3649948447
108	0.3646123804
109	0.3641563635
110	0.3635836673
111	0.3632798133
112	0.3629946015
113	0.3626338611
114	0.3620411293
115	0.3614976347
116	0.3609767704
117	0.3605483823
118	0.3600977898
119	0.3595234515
120	0.3588830567
121	0.3584172131
122	0.3581762511
123	0.3576522453
124	0.3570583474
125	0.3565420098
126	0.3557835868
127	0.3551982813
128	0.3549305614
129	0.3545653147
130	0.3541683195
131	0.3537345259
132	0.3533685812
133	0.3530811566
134	0.3526580434
135	0.3520543131
136	0.351693098
137	0.3514177852
138	0.3509752423
139	0.3504916997
140	0.3500900904
141	0.3497385059
142	0.3494124012
143	0.3489715769
144	0.3485163823
145	0.3483456201
146	0.348045048
147	0.3474794438
148	0.3470453076
149	0.3465618023
150	0.3462142722
151	0.3457905476
152	0.3454229175
153	0.3452026427
154	0.3447542931
155	0.344376362
156	0.3439805955
157	0.343466487
158	0.343182616
159	0.3428669792
160	0.3425981775
161	0.3421702277
162	0.3419238981
163	0.3413767689
164	0.3410697513
165	0.3408356574
166	0.3403422596
167	0.340011838
168	0.339725854
169	0.3394812931
170	0.3391188937
171	0.3386847796
172	0.3383285132
173	0.3380455918
174	0.3376327646
175	0.3373428022
176	0.3369230009
177	0.3365950852
178	0.3361641587
179	0.3358468744
180	0.3356161626
181	0.3352878252
182	0.3350543409
183	0.3346519503
184	0.3343255204
185	0.3342769549
186	0.3338952589
187	0.3336438425
188	0.3333475463
189	0.3332112149
190	0.3329428129
191	0.3326380153
192	0.3323773163
193	0.3319717467
194	0.331717488
195	0.3313191194
196	0.3309835746
197	0.3304653241
198	0.3300658316
199	0.3296632283
200	0.3294322932
201	0.3292219111
202	0.328861289
203	0.3286016798
204	0.3282557675
205	0.3279379801
206	0.3276479314
207	0.3274559973
208	0.3272136675
209	0.3269220392
210	0.326671526
211	0.3264312731
212	0.3261102152
213	0.3257803346
214	0.3255556714
215	0.3252770582
216	0.3250587274
217	0.3246919598
218	0.3243991718
219	0.3241502825
220	0.3238419847
221	0.3235096976
222	0.3232306099
223	0.3229316211
224	0.3226002935
225	0.3223552914
226	0.32214358
227	0.3218603934
228	0.3215347894
229	0.3213285719
230	0.3210368617
231	0.3208183625
232	0.3205946761
233	0.3204492535
234	0.32023062
235	0.3199769213
236	0.3197170456
237	0.3194871302
238	0.3193552556
239	0.3191014633
240	0.3189512361
241	0.3187103554
242	0.3185691372
243	0.318364009
244	0.3181225335
245	0.3179219511
246	0.3175665039
247	0.3173953123
248	0.3170957191
249	0.3168784717
250	0.3167026713
251	0.316559114
