iter	Logloss
0	0.5833379885
5	0.3075143896
10	0.2288798683
15	0.2043124133
20	0.1921678984
25	0.1855832541
30	0.1810285918
35	0.177592231
40	0.1750553848
45	0.1734719368
50	0.1714330773
55	0.1698961725
60	0.1685779115
65	0.1675320822
70	0.1665343691
75	0.1657690029
80	0.1650069136
85	0.1643389117
90	0.1638295692
95	0.1633038067
100	0.1626285838
105	0.1621755675
110	0.1616954426
115	0.1614387516
120	0.1610395472
125	0.1605324807
130	0.1600702057
135	0.1595560373
140	0.1591752071
145	0.1586674495
150	0.1582447351
155	0.1579687047
160	0.157589936
165	0.1570396864
170	0.156783627
175	0.1564764843
180	0.1562537892
185	0.1560352885
190	0.1557986996
195	0.1555584167
200	0.155274355
205	0.1550312719
210	0.1547986986
215	0.1545265766
220	0.1543879954
225	0.1540813413
230	0.1538595042
235	0.1536447331
240	0.1534947723
245	0.1532229124
250	0.1529781135
255	0.1528441914
260	0.1526735566
265	0.1525231549
270	0.1523646146
275	0.1522427275
280	0.1520973901
285	0.1518779956
290	0.1516637846
295	0.1514828903
300	0.1511784049
305	0.1510020266
310	0.1508030679
315	0.1506919765
320	0.1505563266
325	0.1503911135
330	0.1502466698
335	0.1500831606
340	0.1498768498
345	0.1497306425
350	0.1495692305
355	0.1493746926
360	0.1492097297
365	0.1490838389
370	0.1488809717
375	0.1486877683
380	0.1485325526
385	0.1482859305
390	0.1481154506
395	0.1479880465
400	0.1477434382
405	0.1476303569
410	0.1474570649
415	0.1472378968
420	0.1471000902
425	0.1469104973
430	0.146720964
435	0.1465713606
440	0.146449402
445	0.146272845
450	0.1461590369
455	0.1459587674
460	0.1458510125
465	0.1457241922
470	0.145597789
475	0.1454379738
480	0.1453054458
485	0.1451896835
490	0.1450634232
495	0.1448761897
500	0.1446982386
505	0.1445479679
510	0.1443981978
515	0.1442707221
520	0.1441149225
525	0.1439700974
530	0.14377463
535	0.1436682931
540	0.1435566536
545	0.1434504001
550	0.1433346377
555	0.1432111777
560	0.1430784234
565	0.1429259126
570	0.1427419082
575	0.1426394796
580	0.1424997903
585	0.1423954433
590	0.1422542287
595	0.1421713183
600	0.1419956193
605	0.14181967
610	0.1416809101
615	0.1415191883
620	0.1413672852
625	0.1412439444
630	0.141077635
635	0.1409088233
640	0.1408073481
645	0.1407172524
650	0.140535524
655	0.1403810709
660	0.1402563836
665	0.1400985821
670	0.1399580825
675	0.1398378636
680	0.1396801813
685	0.1395791112
690	0.1394274225
695	0.1393381252
700	0.1392372934
705	0.1390869036
710	0.1389323076
715	0.1388162711
720	0.1386997223
725	0.1385263826
730	0.1384309368
735	0.1382670463
740	0.1381630806
745	0.1380438627
750	0.1379313176
755	0.1377814878
760	0.1376676439
765	0.137534258
770	0.1374025523
775	0.1372632085
780	0.1371775336
785	0.1370544192
790	0.1369616186
795	0.1368687466
800	0.1367585846
805	0.1366621021
810	0.1364929806
815	0.1363871441
820	0.1362766247
825	0.1361751137
830	0.1360721251
835	0.1359239636
840	0.1358191519
845	0.1357177362
850	0.1356201336
855	0.1355071476
860	0.1354279073
865	0.1353142063
